object_kind,schema_name,object_name,parent_object,column_name,normalized_signature,source_database,dependency_kind
"COLUMN","dbo","_TDAEmpIn.LastDateTime","_TDAEmpIn","LastDateTime","datetime|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.LastUserSeq","_TDAEmpIn","LastUserSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.MarriageDate","_TDAEmpIn","MarriageDate","nchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.People","_TDAEmpIn","People","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Phone","_TDAEmpIn","Phone","nvarchar(40)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.PrevEmpSeq","_TDAEmpIn","PrevEmpSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.RcmmndrCom","_TDAEmpIn","RcmmndrCom","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.RcmmndrRank","_TDAEmpIn","RcmmndrRank","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Recommender","_TDAEmpIn","Recommender","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Remark","_TDAEmpIn","Remark","nvarchar(max)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.RetireDate","_TDAEmpIn","RetireDate","nchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.SMBirthType","_TDAEmpIn","SMBirthType","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.SMBloodType","_TDAEmpIn","SMBloodType","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.SMSexSeq","_TDAEmpIn","SMSexSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Speciality","_TDAEmpIn","Speciality","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.UMEmployType","_TDAEmpIn","UMEmployType","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.UMEmpType","_TDAEmpIn","UMEmpType","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.UMHandiGrd","_TDAEmpIn","UMHandiGrd","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.UMHandiType","_TDAEmpIn","UMHandiType","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.UMHouseSort","_TDAEmpIn","UMHouseSort","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.UMNationSeq","_TDAEmpIn","UMNationSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.UMReligionSeq","_TDAEmpIn","UMReligionSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.UMRelSeq","_TDAEmpIn","UMRelSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.VeteranNo","_TDAEmpIn","VeteranNo","nvarchar(100)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Weight","_TDAEmpIn","Weight","decimal(19,5)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.WishTask1","_TDAEmpIn","WishTask1","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.WishTask2","_TDAEmpIn","WishTask2","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TPRWkAbsEmp.AbsDate","_TPRWkAbsEmp","AbsDate","nchar(16)|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TPRWkAbsEmp.AbsHour","_TPRWkAbsEmp","AbsHour","decimal(19,5)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TPRWkAbsEmp.CCSeq","_TPRWkAbsEmp","CCSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TPRWkAbsEmp.CompanySeq","_TPRWkAbsEmp","CompanySeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TPRWkAbsEmp.EmpSeq","_TPRWkAbsEmp","EmpSeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TPRWkAbsEmp.IsHalf","_TPRWkAbsEmp","IsHalf","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TPRWkAbsEmp.LastDateTime","_TPRWkAbsEmp","LastDateTime","datetime|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TPRWkAbsEmp.LastUserSeq","_TPRWkAbsEmp","LastUserSeq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TPRWkAbsEmp.Remark","_TPRWkAbsEmp","Remark","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TPRWkAbsEmp.Seq","_TPRWkAbsEmp","Seq","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
